Document ID,Converted Date
00d0100894168,2018-05-11
00d0102367243,2018-06-18
00d0103738916,2018-02-12
00d0106074517,2018-04-30
00d0106280922,2018-01-15
00d0108922007,2018-12-25
00d0114026522,2018-01-13
00d0114666542,2018-06-01
00d0115214912,2017-05-10
00d0116292534,2017-07-07
00d0116788763,2018-04-11
00d0118393124,2018-02-27
00d0121860229,2018-05-03
00d0121880972,2018-03-13
00d0123031653,2017-02-10
00d0124895452,2018-03-20
00d0128862298,2018-05-05
00d0130065999,2006-04-18
00d0139330423,2018-05-28
00d0139642641,
00d0142736377,2018-06-13
00d0145054354,2017-12-11
00d0145695018,2017-08-03
00d0147095939,2017-10-13
00d0147748424,
00d0150882989,2018-02-07
00d0152915085,2018-06-04
00d0159517738,2017-08-14
00d0159988592,
00d0164203891,2018-06-10
00d0164592408,2018-03-05
00d0165073570,2017-07-27
00d0166687964,2018-01-31
00d0167381962,2018-03-22
00d0171220341,2018-01-11
00d0174068255,2017-10-10
00d0174270341,
00d0177909385,2018-01-15
00d0178057064,2020-06-18
00d0178282813,
00d0178827407,2018-03-31
00d0179226173,2018-06-11
00d0180967427,2017-06-22
00d0182384739,2017-08-24
00d0183401385,2018-03-10
00d0184132278,2018-05-02
00d0185599105,2016-01-25
00d0186887844,2018-03-23
00d0188523936,2017-05-10
00d0189067460,2018-04-11
00d0191077139,2018-03-19
00d0192025858,2017-08-05
00d0194796076,2017-08-21
00d0196808024,2017-07-05
00d0196984382,2016-12-06
00d0198786728,
00d0201738305,2018-03-10
00d0201817639,2018-03-01
00d0201833623,2017-12-23
00d0202365816,
00d0204688228,2017-07-13
00d0206117546,
00d0206227401,2017-07-08
00d0206414354,2017-12-02
00d0207352920,2017-11-29
00d0207985673,2017-03-28
00d0212306806,2018-06-23
00d0212522180,2018-02-12
00d0215894408,2018-05-11
00d0218523505,2017-07-25
00d0220981260,2017-12-29
00d0223498663,
00d0223598140,2018-06-16
00d0225816395,2017-08-17
00d0230547657,2017-11-15
00d0233173701,2018-04-18
00d0234070159,2018-02-01
00d0235890341,2017-01-22
00d0237756126,2017-07-15
00d0238897436,2018-01-12
00d0240488407,
00d0241023069,2018-04-01
00d0242366463,2031-07-16
00d0242626168,2018-01-17
00d0243046961,2018-03-29
00d0243521534,2018-03-19
00d0245826221,2018-06-04
00d0250566763,
00d0255697730,2018-05-06
00d0258506946,2018-04-08
00d0259127407,2018-02-21
00d0259552507,
00d0261309649,2018-06-27
00d0263805728,
00d0266548523,2017-08-09
00d0267909555,2018-03-12
00d0269258457,2017-09-15
00d0270398034,2017-10-29
00d0270792056,2018-05-20
00d0271405634,2017-05-17
00d0271842165,2018-02-12
00d0272031259,
00d0272306272,2017-03-21
00d0277307035,2018-06-14
00d0280864237,2018-03-31
00d0281320276,2017-11-20
00d0282138675,2017-07-24
00d0282395578,2017-07-19
00d0286887687,2017-12-04
00d0288011947,
00d0289417092,2017-12-22
00d0290184065,2017-12-04
00d0292723088,2018-03-02
00d0293069545,2018-06-26
00d0294263018,2018-03-01
00d0307106203,2017-02-07
00d0307768744,2018-04-26
00d0308106888,2018-04-20
00d0308915412,2018-05-27
00d0313212291,
00d0314913072,2017-02-09
00d0316894686,2018-02-09
00d0318453525,2018-04-08
00d0319760858,2018-03-09
00d0320587587,2019-01-23
00d0320901819,2018-05-19
00d0326687304,2017-12-28
00d0328708236,2017-09-27
00d0330285744,
00d0330533884,2017-08-19
00d0333208815,
00d0334664099,2018-03-18
00d0338048914,2018-03-06
00d0338271694,2018-04-28
00d0338418904,2018-11-18
00d0338548353,2018-04-28
00d0339705365,2017-05-30
00d0340785534,2018-06-17
00d0343958098,2009-06-18
00d0346543074,2019-01-09
00d0347606159,2017-10-29
00d0353042107,2017-09-30
00d0353443719,2018-03-09
00d0354051709,2018-02-02
00d0354593861,2018-06-11
00d0355426817,2018-04-13
00d0358154075,2017-11-07
00d0362311019,2016-06-04
00d0363399593,2018-03-14
00d0363991072,2018-04-25
00d0365513088,
00d0366117594,
00d0366175414,
00d0372099873,2018-01-24
00d0374072400,2018-05-22
00d0375035482,2018-04-09
00d0377572170,
00d0377951457,2018-03-25
00d0379996414,
00d0382500008,
00d0383639350,2018-06-10
00d0384888865,2018-06-23
00d0385248621,
00d0388190762,2017-10-21
00d0388919382,2017-10-20
00d0389135415,2018-03-12
00d0390492165,2017-03-31
00d0393260166,2017-10-14
00d0394931168,2018-03-21
00d0395061839,2017-02-02
00d0396057665,2018-03-23
00d0396141876,2018-03-10
00d0397644256,2018-02-22
00d0400479663,2018-01-04
00d0401609886,2017-10-22
00d0402998841,2018-05-06
00d0403711886,2018-01-10
00d0407044350,2017-09-30
00d0408017404,2017-06-15
00d0408489357,
00d0411132243,2017-10-26
00d0411843053,2018-04-09
00d0414196980,2018-03-14
00d0415751725,2018-06-25
00d0416161702,2028-12-17
00d0417300467,2018-03-02
00d0419719085,
00d0422368687,2018-05-12
00d0423671916,2017-09-19
00d0426803895,2018-03-19
00d0432757654,2018-04-13
00d0435331752,2018-05-03
00d0437873955,2018-03-10
00d0439076290,
00d0443302756,2018-05-05
00d0443910003,2018-03-05
00d0447521528,2018-04-06
00d0448828100,2018-03-15
00d0449236994,2017-08-10
00d0449498451,2018-03-18
00d0450998902,
00d0452553939,
00d0453226524,
00d0453489586,2018-04-22
00d0453904564,2017-10-19
00d0457456115,2018-02-14
00d0458708415,2017-08-25
00d0459172796,2017-09-05
00d0463604996,
00d0464021737,2017-04-06
00d0464742744,2017-09-20
00d0471112949,2018-06-02
00d0471481845,
00d0471591245,2018-04-15
00d0472127340,2018-06-15
00d0472780579,2018-04-04
00d0472913563,2018-05-07
00d0474678678,2018-05-19
00d0477553790,2017-07-15
00d0483826961,2018-03-30
00d0484705589,2018-07-03
00d0484942812,2017-12-04
00d0485748096,2016-02-03
00d0485758378,2018-01-02
00d0485821436,
00d0487139957,2018-06-11
00d0489061247,2018-05-14
00d0490682838,2017-07-06
00d0495694280,2017-07-24
00d0497274391,2017-09-06
00d0500564944,2018-04-27
00d0500910371,2018-03-18
00d0502129574,2018-04-22
00d0504003816,2018-06-12
00d0504725741,
00d0507143553,2018-06-01
00d0508747957,2018-04-03
00d0510871247,2017-09-03
00d0511840834,2017-10-18
00d0513207673,2018-03-20
00d0523654121,2018-02-03
00d0524794165,2017-05-10
00d0527382713,2018-01-02
00d0529128132,
00d0530467663,2018-05-24
00d0530724847,2018-03-19
00d0531848355,
00d0532350198,2018-03-09
00d0533588228,2018-03-14
00d0537233731,2018-06-13
00d0539072705,2018-06-17
00d0541369548,2016-02-13
00d0542157895,2018-02-27
00d0542888628,2016-01-24
00d0543055869,2005-01-18
00d0543406251,2017-08-12
00d0546591203,2017-12-28
00d0547495073,2018-06-18
00d0547632877,2018-05-28
00d0550391706,2018-05-13
00d0551541808,2019-01-12
00d0552375573,2017-09-04
00d0552638268,
00d0553233477,2018-02-16
00d0555910882,2018-02-28
00d0556108338,
00d0558270937,
00d0564198512,2017-06-03
00d0564199588,2017-12-25
00d0568013096,2018-03-02
00d0570374781,2018-04-12
00d0572439292,2018-03-26
00d0574862056,2018-03-26
00d0576905492,
00d0577470816,
00d0581923422,2018-04-14
00d0582681704,2018-01-05
00d0582732557,2017-09-25
00d0583684114,
00d0585896483,2017-07-27
00d0594663786,2016-05-01
00d0595804986,2016-06-30
00d0599423844,2018-03-27
00d0599930970,2017-09-13
00d0600715913,
00d0601744334,2017-09-25
00d0602427476,
00d0603631647,2017-04-30
00d0606455264,2018-02-28
00d0606540603,2018-01-12
00d0607552804,2017-10-10
00d0608126101,2018-04-17
00d0608566104,2017-04-18
00d0610473999,2018-01-17
00d0614628355,2018-03-21
00d0616798510,2017-05-05
00d0617357249,2018-05-27
00d0619690945,
00d0622420051,2018-06-12
00d0624439175,
00d0626463001,
00d0627357411,
00d0627737900,2017-10-29
00d0628164309,
00d0630325043,2018-01-02
00d0632172733,2018-06-09
00d0632354255,2006-04-03
00d0634485458,
00d0635477367,
00d0638988191,2017-10-18
00d0639354292,
00d0641642649,2017-03-20
00d0645069761,2017-04-25
00d0647759775,2017-09-30
00d0648982621,2018-02-19
00d0649375713,2018-04-07
00d0652046562,2017-11-24
00d0654270874,
00d0654632791,2018-04-17
00d0658523473,2018-06-20
00d0660852423,
00d0661661607,2017-09-28
00d0664097059,2017-12-11
00d0665595833,2016-12-05
00d0667274990,2018-05-30
00d0668346631,2018-02-17
00d0668503128,
00d0674212079,2017-07-18
00d0674219107,2017-02-08
00d0675832982,2018-03-20
00d0676485252,
00d0676711962,
00d0677299556,2016-05-11
00d0678037496,2016-10-20
00d0678943517,2018-03-29
00d0680000515,2017-07-21
00d0680178711,2018-04-27
00d0682202857,2018-02-12
00d0682248746,2018-11-28
00d0682329345,2017-11-22
00d0685059326,
00d0685723809,2018-04-19
00d0686078737,2018-03-24
00d0689877704,2018-06-04
00d0692025607,2018-03-12
00d0692152542,2017-05-24
00d0694169739,2018-05-11
00d0694627982,2018-03-22
00d0695919511,2018-06-03
00d0696021247,2017-04-23
00d0696518680,2018-02-03
00d0697219524,
00d0698784211,2017-10-27
00d0702366697,2018-03-27
00d0702501060,2018-05-30
00d0702637244,2018-04-28
00d0705950948,2017-10-08
00d0708429922,2017-10-20
00d0710387537,2018-03-11
00d0711624382,2018-03-21
00d0714317145,2017-09-12
00d0715617779,2018-06-27
00d0716702145,2018-05-02
00d0717257644,
00d0720874250,
00d0722335566,2017-10-25
00d0723945064,2018-03-29
00d0724139826,2018-01-17
00d0724729985,2016-02-11
00d0726056883,2018-06-26
00d0726102139,2017-05-07
00d0726523245,
00d0729993616,2018-04-30
00d0733466225,2017-02-08
00d0734092781,
00d0734493835,2017-12-28
00d0737345187,2017-02-02
00d0737981299,2016-05-22
00d0738014969,2018-03-03
00d0741622526,2018-05-06
00d0742987288,2017-05-22
00d0743614936,2018-03-14
00d0744539202,2017-05-21
00d0745331693,2018-04-20
00d0749169797,2017-08-28
00d0749657219,2016-12-15
00d0749666123,2017-12-04
00d0750315464,2018-01-03
00d0751097262,2018-05-19
00d0752144290,2018-04-09
00d0752976763,
00d0757215171,2018-04-17
00d0757440459,2018-03-06
00d0757881141,2018-03-18
00d0758726468,2018-02-03
00d0760304510,2016-04-06
00d0760612254,
00d0763228450,2004-06-18
00d0763327632,2018-04-14
00d0764796072,2018-04-16
00d0764855917,2017-12-20
00d0768446621,2018-02-06
00d0770154989,2017-12-22
00d0770792669,2017-09-08
00d0772671396,2018-05-04
00d0773577731,2018-03-16
00d0774260218,
00d0776331594,2018-02-26
00d0776440475,2017-04-10
00d0777749051,2018-06-11
00d0778866561,2017-11-18
00d0781074499,2018-04-16
00d0782503250,2018-04-28
00d0784103375,2017-04-04
00d0784934925,2018-01-14
00d0785646736,2018-03-14
00d0787822677,2018-05-17
00d0788646334,2018-05-26
00d0793133421,2017-12-04
00d0795468800,2011-01-01
00d0796308197,2018-03-18
00d0797361085,2017-10-01
00d0797433528,
00d0803190070,2017-04-18
00d0805870344,2016-05-19
00d0806991732,2017-10-30
00d0809037791,2018-05-26
00d0810901932,2017-01-19
00d0815578182,2018-06-30
00d0815885891,2018-04-16
00d0817657245,2017-10-31
00d0817761748,
00d0818342590,2018-06-20
00d0818597221,2018-02-28
00d0820736669,2017-09-29
00d0821795963,
00d0826414442,2017-02-10
00d0827574327,2017-11-01
00d0827589883,2018-03-29
00d0827595193,2018-02-03
00d0828214133,2018-01-24
00d0828995688,2018-03-20
00d0831136284,2018-02-02
00d0831212127,2018-01-23
00d0831446713,2018-06-26
00d0832645976,2017-09-28
00d0834036599,2018-03-27
00d0835959293,2018-03-23
00d0837787542,2017-12-20
00d0837897960,2018-01-06
00d0840814576,2017-10-17
00d0841246769,
00d0841330621,
00d0842605090,2017-09-18
00d0843646516,2017-10-09
00d0844880238,
00d0845867211,2017-05-04
00d0849102191,
00d0854345015,2017-08-11
00d0855903342,2018-02-17
00d0859215539,2018-03-19
00d0859401532,2018-06-15
00d0859698635,2017-08-30
00d0862918541,2018-04-30
00d0863890590,2018-03-11
00d0864219792,2017-04-30
00d0864913249,2018-06-23
00d0868680143,2017-06-19
00d0870184164,
00d0871332887,2018-03-17
00d0876488640,
00d0876837917,2018-03-30
00d0876844472,
00d0877220068,2017-10-15
00d0879733105,2016-07-29
00d0880901672,
00d0881334709,2018-01-18
00d0884773399,
00d0885837043,2022-02-18
00d0886341707,2018-05-26
00d0887482293,2017-10-05
00d0889453684,2018-03-11
00d0890929577,2018-04-20
00d0891802782,2017-11-12
00d0892499515,2018-03-01
00d0892818805,2017-09-11
00d0898762404,2018-05-23
00d0898930568,2018-01-24
00d0901837324,
00d0902251681,2018-06-27
00d0902256238,2018-04-02
00d0904732199,
00d0904741091,
00d0910574175,2018-05-24
00d0910676977,2018-03-30
00d0910776987,2018-05-03
00d0911031443,
00d0911267818,2016-06-07
00d0913770897,2018-02-12
00d0914854329,
00d0916006350,2018-06-24
00d0916574976,
00d0920231897,2017-07-19
00d0921867955,
00d0922342206,2018-03-04
00d0923796657,2017-03-30
00d0924594862,2018-07-15
00d0928366034,2001-05-16
00d0928411057,
00d0929882897,2017-09-17
00d0930697230,
00d0935614053,2018-03-27
00d0935702550,2018-03-20
00d0942116852,2018-01-14
00d0944155034,2018-06-04
00d0944630849,2018-03-23
00d0945045450,2018-04-21
00d0945445352,2018-03-25
00d0948483091,
00d0948775947,2018-04-20
00d0950145735,2018-06-05
00d0950629356,2018-05-12
00d0952509602,2018-03-04
00d0953772440,2017-05-15
00d0954032591,
00d0955195431,2017-09-16
00d0958758313,
00d0963161084,2017-04-23
00d0964499840,
00d0965540723,2018-04-25
00d0968376605,
00d0969391958,
00d0970540567,
00d0972867846,2018-05-24
00d0973066652,2019-01-11
00d0973462000,2017-11-01
00d0975647472,2017-10-23
00d0976342068,2018-02-26
00d0976607312,2018-02-20
00d0977582300,2018-02-09
00d0979473699,2018-05-28
00d0981184214,2018-04-30
00d0981274700,2018-01-12
00d0982931302,2017-09-18
00d0986033233,2018-01-11
00d0989196649,2018-01-02
00d0989858817,2016-11-21
00d0992127574,2017-04-10
00d0992954979,
00d0992959314,2018-03-21
00d0997573916,
00d0999793595,
00d0999799045,2017-11-26
